"symbol","loss","make","fuel","aspir","doors","style","drive","eng_loc","wb","length","width","height","weight","eng_type","cylinders","eng_cc","fuel.sys","bore","stroke","comp.ratio","hp","rpm","city_mpg","hw_mpg","price"
1,168,"toyota","gas","std","two","sedan","rwd","front",94.5,168.7,64,52.6,2265,"dohc","four",98,"mpfi",3.24,3.08,9.4,112,6600,26,29,9298
1,168,"toyota","gas","std","two","hatchback","rwd","front",94.5,168.7,64,52.6,2300,"dohc","four",98,"mpfi",3.24,3.08,9.4,112,6600,26,29,9538
2,134,"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2540,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,8449
2,134,"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2536,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,9639
2,134,"toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2551,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,9989
2,134,"toyota","gas","std","two","hardtop","rwd","front",98.4,176.2,65.6,52,2679,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,11199
2,134,"toyota","gas","std","two","hatchback","rwd","front",98.4,176.2,65.6,52,2714,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,11549
2,134,"toyota","gas","std","two","convertible","rwd","front",98.4,176.2,65.6,53,2975,"ohc","four",146,"mpfi",3.62,3.5,9.3,116,4800,24,30,17669
-1,65,"toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2326,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,29,34,8948
-1,65,"toyota","diesel","turbo","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2480,"ohc","four",110,"idi",3.27,3.35,22.5,73,4500,30,33,10698
-1,65,"toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2414,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,32,9988
-1,65,"toyota","gas","std","four","sedan","fwd","front",102.4,175.6,66.5,54.9,2414,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,32,10898
-1,65,"toyota","gas","std","four","hatchback","fwd","front",102.4,175.6,66.5,53.9,2458,"ohc","four",122,"mpfi",3.31,3.54,8.7,92,4200,27,32,11248
3,197,"toyota","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,2976,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,20,24,16558
3,197,"toyota","gas","std","two","hatchback","rwd","front",102.9,183.5,67.7,52,3016,"dohc","six",171,"mpfi",3.27,3.35,9.3,161,5200,19,24,15998
-1,90,"toyota","gas","std","four","sedan","rwd","front",104.5,187.8,66.5,54.1,3131,"dohc","six",171,"mpfi",3.27,3.35,9.2,156,5200,20,24,15690
-1,,"toyota","gas","std","four","wagon","rwd","front",104.5,187.8,66.5,54.1,3151,"dohc","six",161,"mpfi",3.27,3.35,9.2,156,5200,19,24,15750
2,122,"volkswagen","diesel","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2261,"ohc","four",97,"idi",3.01,3.4,23,52,4800,37,46,7775
2,122,"volkswagen","gas","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2209,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,7975
2,94,"volkswagen","diesel","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2264,"ohc","four",97,"idi",3.01,3.4,23,52,4800,37,46,7995
2,94,"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2212,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,8195
2,94,"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2275,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,8495
2,94,"volkswagen","diesel","turbo","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2319,"ohc","four",97,"idi",3.01,3.4,23,68,4500,37,42,9495
2,94,"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2300,"ohc","four",109,"mpfi",3.19,3.4,10,100,5500,26,32,9995
3,,"volkswagen","gas","std","two","convertible","fwd","front",94.5,159.3,64.2,55.6,2254,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,29,11595
3,256,"volkswagen","gas","std","two","hatchback","fwd","front",94.5,165.7,64,51.4,2221,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,29,9980
0,,"volkswagen","gas","std","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2661,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,24,13295
0,,"volkswagen","diesel","turbo","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2579,"ohc","four",97,"idi",3.01,3.4,23,68,4500,33,38,13845
0,,"volkswagen","gas","std","four","wagon","fwd","front",100.4,183.1,66.9,55.1,2563,"ohc","four",109,"mpfi",3.19,3.4,9,88,5500,25,31,12290
-2,103,"volvo","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2912,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,12940
-1,74,"volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3034,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,13415
-2,103,"volvo","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2935,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,15985
-1,74,"volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3042,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,16515
-2,103,"volvo","gas","turbo","four","sedan","rwd","front",104.3,188.8,67.2,56.2,3045,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,22,18420
-1,74,"volvo","gas","turbo","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3157,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,22,18950
-1,95,"volvo","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,2952,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,16845
-1,95,"volvo","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.8,55.5,3049,"ohc","four",141,"mpfi",3.78,3.15,8.7,160,5300,19,25,19045
-1,95,"volvo","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3012,"ohcv","six",173,"mpfi",3.58,2.87,8.8,134,5500,18,23,21485
-1,95,"volvo","diesel","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3217,"ohc","six",145,"idi",3.01,3.4,23,106,4800,26,27,22470
-1,95,"volvo","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3062,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,19,25,22625
